№;Индекс MP;Бренд MP;Цена, СУ;Валюта, ID;Таможенный код;Поставщик, MP SUPPL_ID;Наша фирма, MP OURCOMPANY_ID;Курс к ГРН;Склад ID;Ячейка ID;Кол-во
Перенос остатков #1;T1213060;TOKO;1,464;2;8421310000;12;2;28,10;1;1;1984
Перенос остатков #2;T1411007AC;TOKO;1,980;2;5911909090;12;2;28,10;2;3;1
Перенос остатков #3;T1411007C;TOKO;1,980;2;8421392000;12;2;28,10;3;2;1
Перенос остатков #3;T1112051;TOKO;0,824;2;8421230090;12;2;28,10;3;2;10
Перенос остатков #3;T1113005;TOKO;2,169;2;8421230090;12;2;28,10;3;2;26
Перенос остатков #3;T1114014;TOKO;1,691;2;8421230090;12;2;28,10;3;2;9
Перенос остатков #3;T1114050;TOKO;1,467;2;8421230090;12;2;28,10;3;2;3
Перенос остатков #3;T1115019;TOKO;1,020;2;8421230090;12;2;28,10;3;2;7
Перенос остатков #3;T1146018;TOKO;1,245;2;8421230090;12;2;28,10;3;2;5
Перенос остатков #3;T1152013;TOKO;1,055;2;8421230090;12;2;28,10;3;2;14
Перенос остатков #3;T1152019;TOKO;1,202;2;8421230090;12;2;28,10;3;2;25
Перенос остатков #3;T1152029;TOKO;1,980;2;8421230090;12;2;28,10;3;2;6
Перенос остатков #3;T1202003;TOKO;0,974;2;8421310000;12;2;28,10;3;2;170
Перенос остатков #3;T1202014;TOKO;1,382;2;8421310000;12;2;28,10;3;2;7
Перенос остатков #3;T1202016;TOKO;1,337;2;8421310000;12;2;28,10;3;2;9
Перенос остатков #3;T1202030;TOKO;1,504;2;8421310000;12;2;28,10;3;2;3
Перенос остатков #3;T1203012;TOKO;2,154;2;8421310000;12;2;28,10;3;2;4
Перенос остатков #3;T1203013;TOKO;1,651;2;8421310000;12;2;28,10;3;2;3
Перенос остатков #3;T1203028;TOKO;1,404;2;8421310000;12;2;28,10;3;2;4
Перенос остатков #3;T1203049;TOKO;1,784;2;8421310000;12;2;28,10;3;2;29
