;;Шапака документа;;;Расходы;;;;;;;;Справочник курс валют;;;;;;;;;;;;;;;;
;;Дата документа;05.07.2017;;Пример:;Значение;Валюта;Признак расхода;Распределять;;;;Доллар;25,90;;;;;;;;;;;;;;;
;;Поставщик;CONCH STAR;;Страховка заграничная;3270,49;Гривна;Бухгалтерский;Деньги;+;;;Евро;29,50;;;;;;;;;;;;;;;
;;Получатель;ТЕРКОС;;Транспорт заграничный;53 095,00;Гривна;Бухгалтерский;Вес нетто;+;;;;;;;;;;;;;;;;;;;
;;Номер документа основания;TK032;;Транспорт локальный;32 375,00;Гривна;Бухгалтерский;Вес нетто;+;;;;;;;;;;;;;;;;;;;
;;Дата документа основания;03.06.2017;;Разное;11 208,48;Гривна;Бухгалтерский;Деньги;+;;;;;;;;;;;;;;;;;;;
;;Валюта документа основания;Доллар;;Остальное;12 950,00;Гривна;Управленческий;Деньги;+;;;;;;;;;;;;;;;;;;;
;;Курс валюты основания к гривне;26,514500;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Курс валюты основания к гривне (НБУ);25,915589;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Сумма по документу основанию:;59 818,81;Доллар;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Факт. стоимость;Там. стоимость;;;;;;;;;;;;;;;;;;;;;
;;;;;;Таможенный платёж ПД:;432 148,07;448 287,54;Гривна;;;;;;;;;;;;;;;;;;;;
;;;;;;Таможенный платёж ПП:;0,00;0,00;Гривна;;;;;;;;;;;;;;;;;;;;
;;;;;;Итого: таможенных платежей:;432 148,07;448 287,54;Гривна;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ п/п;Столбец2;Индекс;Бренд;Страна;Код УКТ ЗЕД;Кол-во;ЦСДО;Вес нетто, кг.;Пошлина, %;ПД/ПП;СУВСДО;СУ, USD;СБ, ГРН;СУ, ГРН;Сумма по документу;Столбец1;% вес;% деньги;Транспорт З, ГРН;Страховка З, ГРН;Факт стоим. ГРН;Там. Стоим. ГРН;Транспорт Л, ГРН;Разное Б, ГРН;Остальное У, ГРН;ФактПошлина Б, ГРН;ФактНДС У, ГРН;ТамПошлина Б, ГРН;ТамНДС У, ГРН
1;Масло;T1152003;TOKO;CN;8421230090;400;1,34;264,00;2,00%;ПД;1,7777;1,7777;39,1518;46,8668;536,0000;;1,20%;0,90%;638,6193;29,3049;13 890,7557;14 558,6799;389,4020;100,4323;116,0371;277,8151;2 833,7142;291,1736;2 969,9707
2;Воздух;T1203038;TOKO;CN;8421310000;500;1,09;150,00;0,00%;ПД;1,3786;1,3786;30,3328;36,3755;545,0000;filter;0,68%;0,91%;362,8519;29,7969;14 123,9960;14 516,6448;221,2511;102,1187;117,9855;0,0000;2 824,7992;0,0000;2 903,3290
3;Воздух;T1203043;TOKO;CN;8421310000;300;1,20;123,30;0,00%;ПД;1,5314;1,5314;33,7083;40,3998;360,0000;filter;0,56%;0,60%;298,2642;19,6824;9 329,6120;9 647,5586;181,8684;67,4546;77,9354;0,0000;1 865,9224;0,0000;1 929,5117
4;Воздух;T1203049;TOKO;CN;8421310000;300;1,38;133,50;0,00%;ПД;1,7564;1,7564;38,6569;46,3387;414,0000;filter;0,61%;0,69%;322,9382;22,6347;10 729,0538;11 074,6267;196,9135;77,5727;89,6257;0,0000;2 145,8108;0,0000;2 214,9253
5;Воздух;T1211101;TOKO;CN;8421310000;200;1,28;86,00;0,00%;ПД;1,6320;1,6320;35,9228;43,0563;256,0000;filter;0,39%;0,43%;208,0351;13,9964;6 634,3908;6 856,4222;126,8507;47,9677;55,4207;0,0000;1 326,8782;0,0000;1 371,2844
6;Воздух;T1213020;TOKO;CN;8421310000;200;0,99;62,60;0,00%;ПД;1,2590;1,2590;27,7078;33,2157;198,0000;filter;0,29%;0,33%;151,4302;10,8253;5 131,2866;5 293,5421;92,3355;37,1000;42,8644;0,0000;1 026,2573;0,0000;1 058,7084
7;Воздух;T1213035;TOKO;CN;8421310000;500;1,09;221,00;0,00%;ПД;1,4026;1,4026;30,8858;36,9971;545,0000;filter;1,01%;0,91%;534,6017;29,7969;14 123,9960;14 688,3947;325,9767;102,1187;117,9855;0,0000;2 824,7992;0,0000;2 937,6789
8;Воздух;T1213046;TOKO;CN;8421310000;300;1,60;186,90;0,00%;ПД;2,0545;2,0545;45,2364;54,1947;480,0000;filter;0,85%;0,80%;452,1134;26,2432;12 439,4827;12 917,8393;275,6789;89,9394;103,9138;0,0000;2 487,8965;0,0000;2 583,5679
9;Воздух;T1213060;TOKO;CN;8421310000;500;1,37;265,00;0,00%;ПД;1,7586;1,7586;38,7203;46,3892;685,0000;filter;1,21%;1,15%;641,0383;37,4512;17 752,1785;18 430,6679;390,8770;128,3510;148,2937;0,0000;3 550,4357;0,0000;3 686,1336
10;Воздух;T1213060P;TOKO;CN;8421310000;500;1,17;241,50;0,00%;ПД;1,5070;1,5070;33,1860;39,7500;585,0000;filter;1,10%;0,98%;584,1915;31,9839;15 160,6196;15 776,7949;356,2143;109,6136;126,6449;0,0000;3 032,1239;0,0000;3 155,3590
11;Воздух;T1215072;TOKO;CN;5911909090;200;1,09;41,60;5,00%;ПД;1,4298;1,4298;31,4151;37,7014;218,0000;cartridge;0,19%;0,36%;100,6309;11,9188;5 649,5984;5 762,1481;61,3603;40,8475;47,1942;282,4799;1 186,4157;288,1074;1 210,0511
12;Воздух;T1215091;TOKO;CN;5911909090;400;1,09;80,00;5,00%;ПД;1,4284;1,4284;31,3830;37,6652;436,0000;cartridge;0,36%;0,73%;193,5210;23,8375;11 299,1968;11 516,5553;118,0006;81,6950;94,3884;564,9598;2 372,8313;575,8278;2 418,4766
13;Воздух;T1215132;TOKO;CN;8421310000;200;1,09;53,20;0,00%;ПД;1,3729;1,3729;30,2004;36,2266;218,0000;filter;0,24%;0,36%;128,6915;11,9188;5 649,5984;5 790,2086;78,4704;40,8475;47,1942;0,0000;1 129,9197;0,0000;1 158,0417
14;Воздух;T1215147;TOKO;CN;8421310000;500;1,31;190,50;0,00%;ПД;1,6603;1,6603;36,5347;43,8068;655,0000;filter;0,87%;1,09%;460,8219;35,8110;16 974,7108;17 471,3437;280,9889;122,7298;141,7990;0,0000;3 394,9422;0,0000;3 494,2687
15;Воздух;T1235055;TOKO;CN;8421310000;100;1,16;39,50;0,00%;ПД;1,4799;1,4799;32,5757;39,0431;116,0000;filter;0,18%;0,19%;95,5510;6,3421;3 006,2083;3 108,1014;58,2628;21,7354;25,1125;0,0000;601,2417;0,0000;621,6203
16;Воздух;T1236059;TOKO;CN;8421310000;200;1,31;69,00;0,00%;ПД;1,6542;1,6542;36,3945;43,6492;262,0000;filter;0,31%;0,44%;166,9119;14,3244;6 789,8843;6 971,1206;101,7755;49,0919;56,7196;0,0000;1 357,9769;0,0000;1 394,2241
17;Воздух;T1252017;TOKO;CN;8421310000;150;1,17;75,00;0,00%;ПД;1,5099;1,5099;33,2522;39,8244;175,5000;filter;0,34%;0,29%;181,4259;9,5952;4 548,1859;4 739,2070;110,6256;32,8841;37,9935;0,0000;909,6372;0,0000;947,8414
18;Воздух;T1252042;TOKO;CN;8421310000;300;1,10;153,00;0,00%;ПД;1,4263;1,4263;31,4182;37,6165;330,0000;filter;0,70%;0,55%;370,1089;18,0422;8 552,1444;8 940,2954;225,6762;61,8333;71,4407;0,0000;1 710,4289;0,0000;1 788,0591
19;Воздух;T1276001;TOKO;CN;8421310000;300;0,94;122,40;0,00%;ПД;1,2141;1,2141;26,7399;32,0232;282,0000;filter;0,56%;0,47%;296,0871;15,4179;7 308,1961;7 619,7011;180,5409;52,8394;61,0494;0,0000;1 461,6392;0,0000;1 523,9402
20;Топливо;T1304024;TOKO;CN;8421230090;150;3,13;57,00;2,00%;ПД;3,9535;3,9535;86,8718;104,3195;469,5000;;0,26%;0,78%;137,8837;25,6691;12 167,3690;12 330,9218;84,0754;87,9720;101,6407;243,3474;2 482,1433;246,6184;2 515,5081
21;Топливо;T1311042;TOKO;CN;8421230090;100;1,16;38,00;2,00%;ПД;1,5062;1,5062;33,1382;39,7225;116,0000;;0,17%;0,19%;91,9225;6,3421;3 006,2083;3 104,4729;56,0503;21,7354;25,1125;60,1242;613,2665;62,0895;633,3125
22;Топливо;T1315101;TOKO;CN;8421230090;150;1,14;57,00;2,00%;ПД;1,4813;1,4813;32,5927;39,0667;171,0000;;0,26%;0,29%;137,8837;9,3491;4 431,5657;4 578,7986;84,0754;32,0409;37,0193;88,6313;904,0394;91,5760;934,0749
23;Топливо;T1336038;TOKO;CN;8421230090;120;3,51;57,00;2,00%;ПД;4,4419;4,4419;97,6112;117,2013;421,2000;;0,26%;0,70%;137,8837;23,0284;10 915,6461;11 076,5582;84,0754;78,9218;91,1844;218,3129;2 226,7918;221,5312;2 259,6179
24;Топливо;T1342024;TOKO;CN;8421230090;120;2,97;57,00;2,00%;ПД;3,7710;3,7710;82,8822;99,4944;356,4000;;0,26%;0,60%;137,8837;19,4856;9 236,3159;9 393,6852;84,0754;66,7800;77,1560;184,7263;1 884,2084;187,8737;1 916,3118
